# IATA	 FR Name / Nom FR	 EN name / Nom EN	 Province	 AUTO/MAN	Latitude	Longitude	 Elevation (m)	 # ICAO	# WMO	# Climate / Climat	DST Time Zone / Fuseau horaire été	 STD Time Zone / Fuseau horaire heure normale
YQI	Aéroport de Yarmouth	Yarmouth Airport	NS	Manned	43.826944	-66.088056	42.9	CYQI	71603	8206495	ADT	AST
YKD	Aéroport d'Aklavik	Aklavik Airport	NT	Manned	68.223333	-135.005556	6.4	CYKD		2200101	MDT	MST
YSY	Sachs Harbour Airport	Aéroport de Sachs Harbour	NT	Manned	72	-125.266667	86.25	CYSY		2503650	MDT	MST
WSQ	Parc national Aulavik	Aulavik National Park	NT	Auto	74.138889	-119.988889	32	CWSQ	71974	2500440	MDT	MST
ZCP	Aéroport de Cape Parry	Cape Parry Airport	NT	Auto	70.166667	-124.716667	86.6	CZCP	71948	2200675	MDT	MST
WFX	Colville Lake	Colville Lake	NT	Auto	67.041669	-126.083892	259.1	CWFX	71055	2200824	MDT	MST
XDK	Deadmen Valley	Deadmen Valley	NT	Auto	61.256667	-124.468333	283	CXDK	71021	22010H0	MDT	MST
XDE	Deline	Deline	NT	Auto	65.208636	-123.433353	212.8	CXDE	71503	2201022	MDT	MST
YWJ	Aéroport de Deline	Deline Airport	NT	Manned	65.211111	-123.436389	214.274	CYWJ		22010KA	MDT	MST
YOA	Aéroport d'Ekati	Ekati Airport	NT	Manned	64.698889	-110.614722	468.17	CYOA		220N001	MDT	MST
ZGH	Fort Good Hope	Fort Good Hope	NT	Auto	66.242234	-128.644189	81.7	CZGH	71491	2201450	MDT	MST
YGH	Aéroport de Fort Good Hope	Fort Good Hope Airport	NT	Manned	66.240833	-128.650833	81.38	CYGH		2201400	MDT	MST
WJL	Fort Liard	Fort Liard	NT	Auto	60.233333	-123.466667	213.4	CWJL	71497	2201579	MDT	MST
YJF	Aéroport de Fort Liard	Fort Liard Airport	NT	Manned	60.235	-123.466944	215.8	CYJF		2201575	MDT	MST
ZFM	Aéroport de Fort McPherson	Fort McPherson Airport	NT	Manned	67.406944	-134.859722	35.4	CZFM		2201599	MDT	MST
WID	Fort Providence	Fort Providence	NT	Auto	61.316944	-117.601944	161.5	CWID	71087	2201799	MDT	MST
WFZ	Fort Reliance	Fort Reliance	NT	Auto	62.711389	-109.168333	167.6	CWFZ	71160	2201903	MDT	MST
YFR	Aéroport de Fort Resolution	Fort Resolution Airport	NT	Manned	61.180833	-113.689722	160.3	CYFR		2202000	MDT	MST
ZFS	Fort Simpson	Fort Simpson	NT	Auto	61.760278	-121.236667	168	CZFS	71365	2202102	MDT	MST
YFS	Aéroport de Fort Simpson	Fort Simpson Airport	NT	Manned	61.760278	-121.236667	169.2	CYFS	71946	2202101	MDT	MST
ZSM	Fort Smith	Fort Smith	NT	Auto	60.026111	-111.929444	203	CZSM	71362	2202202	MDT	MST
YSM	Aéroport de Fort Smith	Fort Smith Airport	NT	Manned	60.020278	-111.961944	205.13	CYSM	71934	2202200	MDT	MST
WYH	Gameti	Gameti	NT	Auto	64.111688	-117.327802	223.2	CWYH	71165	2203359	MDT	MST
YRA	Aéroport de Gameti	Gameti Airport	NT	Manned	64.116111	-117.309722	220.7	CYRA		2203362	MDT	MST
WQY	Hanbury River	Hanbury River	NT	Auto	63.6	-105.133333	317.4	CWQY	71963	2202351	MDT	MST
ZHY	Hay River	Hay River	NT	Auto	60.838889	-115.776667	164	CZHY	71361	2202402	MDT	MST
YHY	Aéroport de Hay River/Merlyn Carter	Hay River/Merlyn Carter Airport	NT	Manned	60.839722	-115.782778	164.9	CYHY	71935	2202400	MDT	MST
WBJ	Inner Whaleback Rocks	Inner Whaleback Rocks	NT	Auto	61.920286	-113.7264	165.2	CWBJ	71162	2202560	MDT	MST
ZEV	Inuvik	Inuvik	NT	Auto	68.316667	-133.516667	103	CZEV	71364	2202578	MDT	MST
YEV	Aéroport d'Inuvik	Inuvik Airport	NT	Manned	68.303889	-133.483056	67.7	CYEV		2202571	MDT	MST
WKP	Keats Point	Keats Point	NT	Auto	69.672778	-121.6725	330.2	CWKP	71058	2202663	MDT	MST
WMT	Lac la Martre	Lac la Martre	NT	Auto	63.133631	-117.244736	271.3	CWMT	71163	2202678	MDT	MST
XLL	Lindberg Landing	Lindberg Landing	NT	Auto	61.125	-122.851111	183	CXLL	71682	220N003	MDT	MST
WLG	Little Chicago	Little Chicago	NT	Auto	67.179167	-130.228056	62.5	CWLG	71164	220B6Q3	MDT	MST
WLI	Liverpool Bay	Liverpool Bay	NT	Auto	69.604167	-130.910556	101.9	CWLI	71960	220B68C	MDT	MST
XLC	Lower Carp Lake	Lower Carp Lake	NT	Auto	63.6028	-113.862511	373.4	CXLC	71680	220N004	MDT	MST
XLU	Lutselke	Lutselke	NT	Auto	62.415564	-110.690297	178.9	CXLU	71529	220L002	MDT	MST
YLK	Aéroport de Lutselke	Lutselke Airport	NT	Manned	62.418611	-110.682222	178.6	CYLK		220L001	MDT	MST
NVQ	Norman Wells	Norman Wells	NT	Auto	65.287525	-126.753357	93.6	CNVQ	71480	2202810	MDT	MST
YVQ	Aéroport de Norman Wells	Norman Wells Airport	NT	Manned	65.281389	-126.798611	72.5	CYVQ	71043	2202801	MDT	MST
ZPK	Paulatuk	Paulatuk	NT	Auto	69.357779	-124.082501	6.3	CZPK	71984	2203058	MDT	MST
YPC	Aéroport de Paulatuk	Paulatuk Airport	NT	Manned	69.361111	-124.075278	4.57	CYPC		2203057	MDT	MST
WND	Pelly Island	Pelly Island	NT	Auto	69.6325	-135.443889	17	CWND	71502	2203095	MDT	MST
WQF	Rabbit Kettle	Rabbit Kettle	NT	Auto	61.963056	-127.209167	618	CWQF	71980	2203342	MDT	MST
WSY	Sachs Harbour	Sachs Harbour	NT	Auto	71.9925	-125.254167	87.5	CWSY	71467	2503648	MDT	MST
WVH	Storm Hills	Storm Hills	NT	Auto	68.910833	-133.941667	261.4	CWVH	71052	220LQJJ	MDT	MST
WYF	Thomsen River	Thomsen River	NT	Auto	73.230833	-119.538333	41.5	CWYF	71916	2503886	CDT	CST
XTV	Trail Valley	Trail Valley	NT	Auto	68.746333	-133.501778	85	CXTV	71683	220N005	MDT	MST
WTE	Trout Lake	Trout Lake	NT	Auto	60.440833	-121.238889	498	CWTE	71166	220CQHR	MDT	MST
ZUB	Tuktoyaktuk	Tuktoyaktuk	NT	Auto	69.433333	-133.016667	4.6	CZUB	71985	2203914	MDT	MST
YUB	Aéroport de Tuktoyaktuk	Tuktoyaktuk Airport	NT	Manned	69.433333	-133.026389	4.27	CYUB		2203912	MDT	MST
ZFN	Aéroport de Tulita	Tulita Airport	NT	Manned	64.908611	-125.568333	100.3	CZFN		2201700	MDT	MST
XHI	Ulukhaktok	Ulukhaktok	NT	Auto	70.761389	-117.800001	29.9	CXHI	71029	2502505	MDT	MST
YHI	Aéroport d'Ulukhaktok	Ulukhaktok Airport	NT	Manned	70.762778	-117.806111	35.97	CYHI		2502501	MDT	MST
YWE	Aéroport de Wekweeti	Wekweeti Airport	NT	Auto	64.190833	-114.076667	368.2	CYWE		2203980	MDT	MST
YWY	Aéroport de Wrigley	Wrigley Airport	NT	Manned	63.209444	-123.436667	149.7	CYWY		2204000	MDT	MST
YZF	Aéroport de Yellowknife	Yellowknife Airport	NT	Manned	62.463056	-114.440278	205.7	CYZF	71936	2204101	MDT	MST
XYH	Yohin Lake	Yohin Lake	NT	Auto	61.241944	-123.741667	204	CXYH	71020	2204300	MDT	MST
ZLT	Alert	Alert	NU	Auto	82.5	-62.333333	65.4	CZLT	71355	2400305	EDT	EST
XAT	Arctic Bay	Arctic Bay	NU	Auto	72.992778	-85.012222	10	CXAT	71592	2400404	EDT	EST
YAB	Aéroport d'Arctic Bay	Arctic Bay Airport	NU	Manned	73.006389	-85.047222	21.9	CYAB		2400401	EDT	EST
YAB	Aéroport d'Arctic Bay	Arctic Bay Airport	NU	Auto	73.006389	-85.047222	21.946	CYAB		2400399	EDT	EST
XAR	Arviat	Arviat	NU	Auto	61.1	-94.066667	9.8	CXAR	71322	2301153	EDT	EST
